Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct,latitude,longitude
459868,Bronx Night Market,12/21/2019 01:00:00 PM,12/21/2019 10:30:00 PM,Street Activity Permit Office,Plaza Event,Bronx,Fordham Plaza: Fordham Plaza EAST FORDHAM ROAD between WEBSTER AVENUE and FIREFIGHTERS BOULEVARD,Full,Pedestrian Plaza,"6,","48,",40.861595,-73.89106799999999
518518,Plaza de las Americas,12/12/2019 07:00:00 AM,12/12/2019 07:00:00 PM,Street Activity Permit Office,Miscellaneous,Manhattan,Plaza de Las Americas: Plaza de Las Americas WEST  175 STREET between BROADWAY and WADSWORTH AVENUE,Full,Pedestrian Plaza,"12,","33,",40.84609080000001,-73.9380967
468135,Miscellaneous,12/10/2019 07:00:00 AM,12/10/2019 03:00:00 PM,Parks Department,Special Event,Manhattan,"Booker T. Washington Playground: Soccer-01 ,Booker T. Washington Playground: Softball-01 ,Moore Playground: Softball-01 ,Playground one Twenty Five CXXV (PS 125): Softball-01 ,Holcombe Rucker Park: Softball-01 ,Tecumseh Playground: Softball-01 ,Wagner Playground: Soccer-01 ,Wagner Playground: Softball-01 ,Jacob H. Schiff Playground: Soccer-01 ,Jacob H. Schiff Playground: Softball-01 ,Peter's Field: Soccer-01 ,Peter's Field: Softball-01 ,Happy Warrior Playground: Softball-01 ,Sol Lain Plgd: Softb","",N/A,"03, 06, 07, 09, 10, 11,","13, 20, 24, 25, 26, 30, 32, 7,",40.8009054,-73.9637367
518518,Plaza de las Americas,12/03/2019 07:00:00 AM,12/03/2019 07:00:00 PM,Street Activity Permit Office,Miscellaneous,Manhattan,Plaza de Las Americas: Plaza de Las Americas WEST  175 STREET between BROADWAY and WADSWORTH AVENUE,Full,Pedestrian Plaza,"12,","33,",40.84609080000001,-73.9380967
518518,Plaza de las Americas,12/25/2019 07:00:00 AM,12/25/2019 07:00:00 PM,Street Activity Permit Office,Miscellaneous,Manhattan,Plaza de Las Americas: Plaza de Las Americas WEST  175 STREET between BROADWAY and WADSWORTH AVENUE,Full,Pedestrian Plaza,"12,","33,",40.84609080000001,-73.9380967
519641,Virgen de la Nube Procession,01/01/2020 01:15:00 PM,01/01/2020 02:30:00 PM,Police Department,Parade,Bronx,"1372 STRATFORD AVENUE, EAST  174 STREET between STRATFORD AVENUE and MORRISON AVENUE,  MORRISON AVENUE between EAST  174 STREET and WATSON AVENUE,  WATSON AVENUE between MORRISON AVENUE and ELDER AVENUE,  ELDER AVENUE between WATSON AVENUE and EAST  172 STREET,  EAST  172 STREET between ELDER AVENUE and STRATFORD AVENUE,  STRATFORD AVENUE between EAST  172 STREET and EAST  174 STREET, 1372 STRATFORD AVENUE","",Full Street Closure,"9,","43,",40.8332948,-73.876145
511149,Antorcha Guadalupana 2019,12/08/2019 08:00:00 AM,12/08/2019 01:00:00 PM,Police Department,Athletic Race / Tour,Manhattan,"328 West WEST   14 STREET, WEST   14 STREET between 8 AVENUE and 5 AVENUE,  1 AVENUE between EAST   14 STREET and EAST   59 STREET,  FIRST AVENUE between EAST   59 STREET and EAST  125 STREET","",Full Street Closure,"11, 2, 4, 5, 6, 8,","10, 13, 17, 19, 23, 25, 6,",40.7313474,-73.9825664
518518,Plaza de las Americas,12/30/2019 07:00:00 AM,12/30/2019 07:00:00 PM,Street Activity Permit Office,Miscellaneous,Manhattan,Plaza de Las Americas: Plaza de Las Americas WEST  175 STREET between BROADWAY and WADSWORTH AVENUE,Full,Pedestrian Plaza,"12,","33,",40.84609080000001,-73.9380967
466819,Fall project,12/06/2019 12:01:00 AM,12/06/2019 08:00:00 AM,Street Activity Permit Office,Plaza Partner Event,Manhattan,"46/47 Broadway Pedestrian Plaza (Times Sq): 46/47 Broadway Pedestrian Plaza (Times Sq) BROADWAY between WEST   46 STREET and WEST   47 STREET,  WEST   46 STREET between 7 AVENUE and 8 AVENUE",Full,Pedestrian Plaza,"4, 5,","18,",40.7579747,-73.9855426
520060,Permitted Film Event,11/27/2019 06:00:00 AM,12/20/2019 06:00:00 PM,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,504 WEST   53 STREET between 10 AVENUE and 11 AVENUE,"",N/A,"4,","18,",40.76682599999999,-73.9912776
518518,Plaza de las Americas,12/19/2019 07:00:00 AM,12/19/2019 07:00:00 PM,Street Activity Permit Office,Miscellaneous,Manhattan,Plaza de Las Americas: Plaza de Las Americas WEST  175 STREET between BROADWAY and WADSWORTH AVENUE,Full,Pedestrian Plaza,"12,","33,",40.84609080000001,-73.9380967
519669,Rally for Good Jobs,12/05/2019 05:30:00 PM,12/05/2019 06:30:00 PM,Street Activity Permit Office,Rally,Manhattan,Pershing Square Plaza: Pershing Square Plaza PARK AVENUE between EAST   41 STREET and EAST   42 STREET,Full,Pedestrian Plaza,"5,","14,",40.752023,-73.97775399999999
518386,Permitted Film Event,11/23/2019 07:00:00 AM,12/06/2019 06:00:00 AM,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,"Beacon Theatre: 2124 Broadway , AMSTERDAM AVENUE between WEST   73 STREET and WEST   75 STREET,  BROADWAY between WEST   74 STREET and WEST   75 STREET,  WEST   75 STREET between AMSTERDAM AVENUE and BROADWAY","",N/A,"7,","20,",40.7805136,-73.9810847
518518,Plaza de las Americas,12/20/2019 07:00:00 AM,12/20/2019 07:00:00 PM,Street Activity Permit Office,Miscellaneous,Manhattan,Plaza de Las Americas: Plaza de Las Americas WEST  175 STREET between BROADWAY and WADSWORTH AVENUE,Full,Pedestrian Plaza,"12,","33,",40.84609080000001,-73.9380967
518518,Plaza de las Americas,12/13/2019 07:00:00 AM,12/13/2019 07:00:00 PM,Street Activity Permit Office,Miscellaneous,Manhattan,Plaza de Las Americas: Plaza de Las Americas WEST  175 STREET between BROADWAY and WADSWORTH AVENUE,Full,Pedestrian Plaza,"12,","33,",40.84609080000001,-73.9380967
